community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,max_edges_fixed,density_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,max_edges_orig,density_orig,density_diff,n_nodes_match
841,2,2,1,1,1,2,2,0,1,0,1,TRUE
842,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
843,2,2,1,1,1,2,2,0,1,0,1,TRUE
844,2,2,1,1,1,2,2,0,1,0,1,TRUE
845,2,2,1,1,1,2,2,0,1,0,1,TRUE
846,2,2,1,1,1,2,2,0,1,0,1,TRUE
847,2,2,1,1,1,2,2,0,1,0,1,TRUE
848,2,2,1,1,1,2,2,0,1,0,1,TRUE
849,2,2,1,1,1,2,2,0,1,0,1,TRUE
850,2,2,1,1,1,2,2,0,1,0,1,TRUE
851,2,2,1,1,1,2,2,0,1,0,1,TRUE
852,2,2,1,1,1,2,2,0,1,0,1,TRUE
853,2,2,1,1,1,2,2,0,1,0,1,TRUE
854,2,2,1,1,1,2,2,0,1,0,1,TRUE
855,2,2,1,1,1,2,2,0,1,0,1,TRUE
856,2,2,1,1,1,2,2,0,1,0,1,TRUE
857,2,2,1,1,1,2,2,0,1,0,1,TRUE
858,2,2,1,1,1,2,2,0,1,0,1,TRUE
859,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
860,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
861,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
862,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
863,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
864,2,2,1,1,1,2,2,0,1,0,1,TRUE
865,2,2,1,1,1,2,2,0,1,0,1,TRUE
866,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
867,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
868,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
869,2,2,1,1,1,2,2,0,1,0,1,TRUE
870,2,2,1,1,1,2,2,0,1,0,1,TRUE
871,2,2,1,1,1,2,2,0,1,0,1,TRUE
872,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
873,2,2,1,1,1,2,2,0,1,0,1,TRUE
874,2,2,1,1,1,2,2,0,1,0,1,TRUE
875,2,2,1,1,1,2,2,0,1,0,1,TRUE
876,2,2,1,1,1,2,2,0,1,0,1,TRUE
877,2,2,1,1,1,2,2,0,1,0,1,TRUE
878,2,2,1,1,1,2,2,0,1,0,1,TRUE
879,2,2,1,1,1,2,2,0,1,0,1,TRUE
880,2,2,1,1,1,2,2,0,1,0,1,TRUE
881,2,2,1,1,1,2,2,0,1,0,1,TRUE
882,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
883,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
884,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
885,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
886,5,5,4,10,0.4,5,5,0,10,0,0.4,TRUE
887,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
888,2,2,1,1,1,2,2,0,1,0,1,TRUE
889,2,2,1,1,1,2,2,0,1,0,1,TRUE
890,2,2,1,1,1,2,2,0,1,0,1,TRUE
891,2,2,1,1,1,2,2,0,1,0,1,TRUE
892,2,2,1,1,1,2,2,0,1,0,1,TRUE
893,2,2,1,1,1,2,2,0,1,0,1,TRUE
894,2,2,1,1,1,2,2,0,1,0,1,TRUE
895,2,2,1,1,1,2,2,0,1,0,1,TRUE
896,2,2,1,1,1,2,2,0,1,0,1,TRUE
897,2,2,1,1,1,2,2,0,1,0,1,TRUE
898,2,2,1,1,1,2,2,0,1,0,1,TRUE
899,2,2,1,1,1,2,2,0,1,0,1,TRUE
900,2,2,1,1,1,2,2,0,1,0,1,TRUE
901,2,2,1,1,1,2,2,0,1,0,1,TRUE
902,2,2,1,1,1,2,2,0,1,0,1,TRUE
903,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
904,2,2,1,1,1,2,2,0,1,0,1,TRUE
905,2,2,1,1,1,2,2,0,1,0,1,TRUE
906,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
907,2,2,1,1,1,2,2,0,1,0,1,TRUE
