community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,mean_degree_fixed,median_degree_fixed,max_degree_fixed,min_degree_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,mean_degree_orig,median_degree_orig,max_degree_orig,min_degree_orig,degree_diff
1413,2,2,1,1,1,1,1,4,4,0,0,0,0,0,1
1414,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1415,4,4,3,1.5,1.5,2,1,2,2,0,0,0,0,0,1.5
1416,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1417,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1418,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1419,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1420,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1421,5,5,4,1.6,2,2,1,5,5,0,0,0,0,0,1.6
1422,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1423,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1424,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1425,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1426,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1427,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1428,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1429,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1430,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1431,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1432,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1433,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1434,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1435,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1436,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1437,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1438,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1439,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1440,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1441,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1442,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1443,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1444,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1445,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1446,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1447,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1448,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1449,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1450,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1451,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1452,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1453,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1454,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1455,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1456,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1457,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1458,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1459,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1460,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1461,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1462,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1463,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1464,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1465,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1466,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1467,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1468,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1469,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1470,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1471,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1472,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
